country,deaths
Afghanistan,7646
Albania,3486
Algeria,6868
Andorra,152
Angola,1900
Anguilla,9
Antigua and Barbuda,135
Argentina,127295
Armenia,8579
Aruba,212
Australia,5638
Austria,15261
Azerbaijan,9627
Bahamas,773
Bahrain,1464
Bangladesh,29112
Barbados,326
Belarus,6681
Belgium,30472
Belize,652
Benin,163
Bermuda,125
Bhutan,7
Bolivia,21476
Bosnia,15641
Botswana,2619
Brazil,655649
British Virgin Islands,62
Brunei,171
Bulgaria,36196
Burkina Faso,375
Burundi,38
Cabo Verde,401
Cambodia,3049
Cameroon,1926
Canada,36993
Caribbean Netherlands,31
Cayman Islands,17
Central African Republic,113
Chad,190
Channel Islands,147
Chile,44039
China,4636
Colombia,139335
Comoros,160
Congo,378
Cook Islands,0
Costa Rica,8192
Croatia,15373
Cuba,8503
Curaçao,265
Cyprus,904
Czechia,39216
Côte d'Ivoire,796
DRC,1335
Denmark,5232
Diamond Princess,13
Djibouti,189
Dominica,62
Dominican Republic,4374
Ecuador,35348
Egypt,24277
El Salvador,4102
Equatorial Guinea,183
Eritrea,103
Estonia,2367
Ethiopia,7486
Falkland Islands (Malvinas),0
Faroe Islands,28
Fiji,834
Finland,2719
France,140440
French Guiana,394
French Polynesia,645
Gabon,303
Gambia,365
Georgia,16585
Germany,126532
Ghana,1445
Gibraltar,101
Greece,26686
Greenland,20
Grenada,216
Guadeloupe,843
Guatemala,17170
Guinea,440
Guinea-Bissau,169
Guyana,1225
Haiti,827
Holy See (Vatican City State),0
Honduras,10842
Hong Kong,4568
Hungary,44653
Iceland,83
India,516103
Indonesia,152745
Iran,139180
Iraq,25109
Ireland,6636
Isle of Man,81
Israel,10399
Italy,157177
Jamaica,2851
Japan,26262
Jordan,13959
Kazakhstan,13650
Kenya,5647
Kiribati,13
Kuwait,2552
Kyrgyzstan,2975
Lao People's Democratic Republic,643
Latvia,5450
Lebanon,10219
Lesotho,697
Liberia,294
Libyan Arab Jamahiriya,6354
Liechtenstein,79
Lithuania,8659
Luxembourg,1007
MS Zaandam,2
Macao,0
Macedonia,9155
Madagascar,1377
Malawi,2624
Malaysia,33994
Maldives,297
Mali,726
Malta,617
Marshall Islands,0
Martinique,905
Mauritania,981
Mauritius,934
Mayotte,187
Mexico,321375
Micronesia,0
Moldova,11357
Monaco,52
Mongolia,2177
Montenegro,2695
Montserrat,2
Morocco,16046
Mozambique,2198
Myanmar,19414
Namibia,4014
Nepal,11950
Netherlands,21725
New Caledonia,305
New Zealand,125
Nicaragua,223
Niger,308
Nigeria,3142
Niue,0
Norway,1753
Oman,4250
Pakistan,30317
Palau,6
Palestine,5321
Panama,8143
Papua New Guinea,639
Paraguay,18552
Peru,211619
Philippines,57625
Poland,113622
Portugal,21285
Qatar,677
Romania,64450
Russia,361902
Rwanda,1458
Réunion,689
S. Korea,11052
Saint Helena,0
Saint Kitts and Nevis,42
Saint Lucia,365
Saint Martin,63
Saint Pierre Miquelon,1
Saint Vincent and the Grenadines,106
Samoa,0
San Marino,112
Sao Tome and Principe,72
Saudi Arabia,9021
Senegal,1964
Serbia,15619
Seychelles,163
Sierra Leone,125
Singapore,1159
Sint Maarten,85
Slovakia,18979
Slovenia,6419
Solomon Islands,125
Somalia,1348
South Africa,99727
South Sudan,138
Spain,101416
Sri Lanka,16415
St. Barth,6
Sudan,4874
Suriname,1322
Swaziland,1392
Sweden,17841
Switzerland,13425
Syrian Arab Republic,3118
Taiwan,853
Tajikistan,124
Tanzania,800
Thailand,23921
Timor-Leste,129
Togo,272
Tonga,2
Trinidad and Tobago,3690
Tunisia,28065
Turkey,96735
Turks and Caicos Islands,36
UAE,2302
UK,163095
USA,992302
Uganda,3594
Ukraine,107269
Uruguay,7110
Uzbekistan,1637
Vanuatu,1
Venezuela,5661
Vietnam,41545
Wallis and Futuna,7
Western Sahara,1
Yemen,2139
Zambia,3960
Zimbabwe,5416
